account,best_guess,confidence,AGRIS,Agvance,Merchant Ag,evidence_urls
Abbyville Farmers Co-op Grain Co.,Agvance,0.9,0,90,40,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Alma Alma Cooperative Oil Assn.,Agvance,0.8,10,80,10,https://agvance.net/post/an-industry-leader
Anthony Anthony Farmers Cooperative,Unknown,0.0,0,0,0,
Arkansas City Two Rivers Consumers Co-op Association,Unknown,0.0,0,0,0,
Atwood Beardsley Equity Cooperative Association,Agvance,0.7,10,70,5,https://agvance.net/post/an-industry-leader
Bartlett Bartlett Co-op Association,Unknown,0.0,0,0,0,
Bazine Cooperative Grain & Supply Company,Unknown,0.0,0,0,0,
"Beloit AgMark, LLC",Agvance,0.9,0,95,0,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Bremen Central Plains Organic Farmers,Unknown,0.0,0,0,0,
"Cheney and Enid, OK CoMark Equity Alliance LLC (CEA)",Unknown,0.0,0,0,0,
Colby Hi-Plains Cooperative Association,Agvance,0.7,10,80,10,https://agvance.net/ | https://agvance.net/post/an-industry-leader
Columbus Farmers Cooperative Association,Agvance,0.9,10,90,40,https://agvance.net/ | https://agvance.net/why-agvance | https://agvance.net/api
"Concordia Cloud County Co-op Elevator Association, Inc.",Unknown,0.0,0,0,0,
Conway Springs Farmers Cooperative Grain Association,Agvance,0.8,10,90,40,https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Dodge City Pride Ag Resources,Unknown,0.0,0,0,0,
"Dodge City Servi-Tech, Inc.",Agvance,0.9,10,90,10,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
"Ellis Golden Belt Co-op Association, Inc.",Agvance,0.85,10,90,5,https://agvance.net/post/an-industry-leader
Ellsworth The Ellsworth Co-op,Agvance,0.9,10,90,30,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Fowler Fowler Equity Exchange,Agvance,0.9,20,90,10,https://agvance.net/ | https://agvance.net/post/an-industry-leader
"Garden City Garden City Co-op, Inc.",Agvance,0.8,10,90,0,https://agvance.net/
Girard Producers Cooperative Association,Agvance,0.85,10,90,20,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://platform.softwareone.com/vendor/agvance/VND-2925-9120
"Goodland Frontier Ag, Inc.",Unknown,0.0,0,0,0,
"Gorham United Ag Services, Inc.",Agvance,0.9,0,90,30,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Great Bend American Plains Co-op,Merchant Ag,0.95,0,10,100,"https://www.apcoop.com/news/gb-agronomy-news/introducing-merchant-ag,-our-new-accounting-system"
Halstead Farmers Coop. Elevator Co.,Agvance,0.9,10,90,50,https://agvance.net/products/accounting | https://agvance.net/
Hays Midland Marketing Co-op,Agvance,0.9,10,90,30,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp
Hillsboro Cooperative Grain and Supply,Agvance,0.8,10,80,50,https://agvance.net/ | https://agvance.net/post/an-industry-leader
"Holton Jackson Farmers, Inc.",Unknown,0.1,10,5,5,
Hope Agri Trails Cooperative,Agvance,0.9,10,90,10,https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/
Isabel Farmers Cooperative Equity Co.,Merchant Ag,0.8,10,10,80,https://ever.ag/agribusiness/merchant-ag
Iuka Kanza Cooperative Association,Agvance,0.9,10,90,30,https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/
Lansing Leavenworth County Co-op Assn.,Unknown,0.0,0,0,0,
Larned Pawnee County Co-op Assn.,Agvance,0.8,10,80,20,https://agvance.net/ | https://agvance.net/products/accounting
"LeRoy LeRoy Cooperative Association, Inc..",Unknown,0.0,0,0,0,
McCune McCune Farmers Union Cooperative Association,Agvance,0.85,10,90,10,https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Moundridge MKC,Agvance,0.9,10,90,5,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://www.globalagtechinitiative.com/market-watch/when-its-time-to-switch-software/
"Moundridge Producer Ag, LLC",Agvance,0.8,10,90,5,https://agvance.net/ | https://www.producerag.com/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp
Mulvane Mulvane Cooperative Union,Agvance,0.7,10,80,10,https://agvance.net/
Oberlin Decatur Cooperative Association,Agvance,0.8,0,90,50,https://agvance.net/ | https://agvance.net/post/an-industry-leader
Offerle Offerle Cooperative Grain and Supply Company,Agvance,0.9,10,90,30,https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Osborne Midway Co-op Association,Agvance,0.8,20,80,10,https://agvance.net/post/an-industry-leader
Ottawa Ottawa Co-op Association,Agvance,0.9,10,90,30,https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Piqua Piqua Farmers Co-op,Agvance,0.85,10,90,50,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp
Randall Randall Farmers Co-op Union,Unknown,0.0,0,0,0,
"Rozel Golden Valley, Inc.",Agvance,0.9,0,90,0,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Sabetha Berwick Cooperative Oil Co.,Unknown,0.0,0,0,0,
Scott City Scott Cooperative Association,Agvance,0.9,10,90,10,https://agvance.net/ | https://agvance.net/post/an-industry-leader
Seneca Ag Partners Cooperative,Agvance,0.9,10,90,10,https://agvance.net/ | https://agvance.net/post/agvance-is-an-erp-what-is-an-erp | https://agvance.net/post/an-industry-leader
Sharon Springs 21st Century Bean Processors,Agvance,0.75,10,75,30,https://agvance.net/
Sharon Springs CHS United Plains Ag/CHS Quinter,Unknown,0.0,0,0,0,
"Smith Center Trinity Ag, LLC",Unknown,0.0,0,0,0,
"Spearville Alliance Ag & Grain, LLC (Right Co-op in Wright, Farmers Co-op in Haviland, Southern Plains Cooperative in Lewis, Cooperative Elevator and Supply Company in Meade)",Unknown,0.0,0,0,0,
St. Francis St. Francis Mercantile Equity Exchange,Unknown,0.0,0,0,0,
Sterling Central Prairie Co-op,Agvance,0.9,0,90,70,https://agvance.net/post/an-industry-leader | https://ever.ag/agribusiness/merchant-ag
Stockton Farmers Union Mercantile & Shipping Assn.,Unknown,0.0,0,0,0,
"Sublette Sublette Cooperative, Inc.",Agvance,0.9,10,90,50,https://agvance.net/ | https://agvance.net/post/an-industry-leader | https://agvance.net/products/accounting
Ulysses Skyland Co-op/Skyland Grain,Agvance,0.8,0,90,0,https://agvance.net/
Wheeler Wheeler Co-op Mercantile Equity Union,Unknown,0.0,0,0,0,
Yates Center SEK Co-op,Unknown,0.0,0,0,0,
